BD0001;10000
A0968;0
A0969;0
A0970;0
A0971;0
A10;30
A100;0
A1000;4
A1001;8
A1002;6
A1003;122
A1004;47
A1005;27
A1006;0
A1007;0
A1008;0
A1009;0
A1010;0
A1011;3
A1012;0
A1013;59
A1014;0
A1015;0
A1016;1
A1017;0
A1018;0
A1019;0
A102;1
A1020;0
A1021;0
A1022;1
A1023;13
A1024;20
A1025;0
A1026;12
A1027;14
A1028;14
A1029;18
A103;33
A1030;18
A1031;0
A1032;7
A1033;0
A1034;0
A1035;0
A1036;0
A1037;1
A1038;1
A1039;1
A104;14
A1040;0
A1041;0
A1042;2
A1043;1
A1044;2
A1045;4
A1046;2
A1047;4
A1048;5
A1049;9
A105;0
A1050;5
A1051;5
A1052;5
A1053;5
A1054;5
A1055;5
A1056;5
A1057;5
A1058;9
A1059;3
A106;6
A1060;5
A1061;4
A1062;10
A1063;8
A1064;5
A1065;5
A1066;5
A1068;4
A107;6
A1071;4
A1072;4
A1074;3
A1075;0
A1076;2
A1077;1
A1078;5
A1079;3
A108;2
A1080;6
A1081;5
A1083;4
A1084;5
A1085;3
A1086;5
A1087;5
A1088;2
A1089;2
A109;35
A1090;5
A1091;3
A1092;4
A1093;4
A1094;5
A1095;2
A1096;5
A1097;3
A1098;3
A1099;3
A11;17
A110;44
A1100;5
A1101;3
A1102;3
A1103;1
A1104;6
A1105;4
A1106;1
A1107;4
A1108;3
A1109;1
A111;9
A1110;5
A1111;3
A1112;3
A1113;29
A1114;33
A1115;33
A1116;32
A1117;32
A1118;30
A1119;273
A112;27
A1120;3
A1121;0
A1122;3
A1123;6
A1124;0
A1125;1
A1126;1
A1127;4
A1128;7
A1129;14
A113;6
A1130;6
A1131;22
A1132;9
A1133;0
A1134;2
A1135;28
A1136;174
A1137;163
A1138;5
A1139;11
A114;5
A1140;11
A1141;15
A1142;0
A1143;0
A1144;77
A1145;23
A1146;0
A1147;0
A1148;20
A1149;16
A115;3
A1150;5
A1151;28
A1152;0
A1153;14
A1154;5
A1155;13
A1156;9
A1157;9
A1158;9
A1159;1
A116;72
A1160;1
A1161;16
A1162;39
A1163;2
A1164;1
A1165;9
A1166;39
A1167;10
A1168;7
A1169;7
A117;1
A1170;0
A1171;42
A1172;44
A1173;40
A1174;36
A1175;5
A1176;159
A1177;0
A1178;0
A1179;0
A118;26
A1180;0
A1181;0
A1182;1
A1183;0
A1184;0
A1185;0
A1186;0
A1187;0
A1188;0
A1189;0
A119;1696
A1190;0
A1191;0
A1192;0
A1193;87
A1194;9
A1195;9
A1196;9
A1197;10
A1198;10
A1199;8
A12;10
A120;4
A1200;9
A1201;10
A1202;10
A1203;2
A1204;2
A1205;2
A1206;22
A1207;0
A1208;2
A1209;0
A121;1680
A1210;1
A1211;8
A1212;35
A1213;2
A1214;0
A1215;1
A1216;3
A1217;0
A1218;0
A1219;0
A122;467
A1220;14
A1221;7
A1222;16
A1223;13
A1224;16
A1225;13
A1226;0
A1227;1
A1228;0
A1229;0
A123;208
A1230;0
A1231;0
A1232;3
A1233;0
A1234;8
A1235;29
A1236;0
A1237;5
A1238;8
A1239;5
A124;685
A1240;10
A1241;9
A1242;10
A1243;7
A1244;6
A1245;7
A1246;9
A1247;10
A1248;5
A1249;8
A125;422
A1250;0
A1251;0
A1252;0
A1253;0
A1254;87
A1255;0
A1256;0
A1257;4
A1258;6
A1259;1
A126;10
A1260;6
A1261;17
A1262;8
A1263;8
A1264;3
A1265;0
A1266;3
A1267;15
A1268;35
A1269;10
A127;0
A1270;0
A1271;17
A1272;18
A1273;24
A1274;29
A1275;1
A1276;0
A1277;14
A1278;18
A1279;21
A128;121
A1280;1
A1281;2
A1282;0
A1283;1
A1284;17
A1285;17
A1286;14
A1287;9
A1288;25
A1289;31
A129;7
A1290;49
A1291;29
A1292;12
A1293;27
A1294;34
A1295;26
A1296;25
A1297;10
A1298;24
A1299;33
A13;15
A130;6
A1300;30
A1301;30
A1302;13
A1303;11
A1304;13
A1305;12
A1306;13
A1307;15
A1308;11
A1309;0
A131;174
A1310;2
A1311;11
A1312;11
A1313;9
A1314;3
A1315;17
A1316;21
A1317;13
A1318;17
A1319;6
A132;140
A1320;6
A1321;2
A1322;13
A1323;13
A1324;15
A1325;9
A1326;18
A1327;23
A1328;0
A1329;13
A133;31
A1330;5
A1331;4
A1332;4
A1333;38
A1334;0
A1335;0
A1336;0
A1337;1
A1338;0
A1339;0
A134;34
A1340;0
A1341;0
A1342;0
A1343;1
A1344;0
A1345;0
A1346;0
A1347;0
A1348;0
A1349;0
A135;17
A1350;0
A1351;0
A1352;0
A1353;0
A1354;0
A1355;0
A1356;0
A1357;0
A1358;0
A1359;0
A1360;0
A1361;0
A1362;0
A1363;0
A1364;0
A1365;0
A1366;0
A1367;0
A1368;0
A1369;0
A137;42
A1370;5
A1371;18
A1372;24
A1373;15
A1374;2
A1375;0
A1376;0
A1377;0
A1378;0
A1379;0
A138;33
A1380;0
A1381;0
A1382;0
A1383;0
A1384;0
A1385;0
A1386;0
A1387;12
A1388;16
A1389;20
A139;17
A1390;5
A1391;0
A1392;17
A1393;14
A1394;0
A1395;0
A1396;5
A1397;18
A1398;14
A1399;0
A14;10
A140;25
A1400;0
A1401;18
A1402;0
A1403;7
A1404;22
A1405;3
A1406;0
A1407;0
A1408;0
A1409;45
A141;42
A1410;21
A1411;17
A1412;1
A1413;0
A1414;26
A1415;19
A1416;11
A1417;25
A1418;0
A1419;0
A142;23
A1420;29
A1421;2
A1422;14
A1423;1
A1424;5
A1425;10
A1426;9
A1427;5
A1428;0
A1429;5
A143;19
A1430;0
A1431;0
A1432;0
A1433;0
A1434;4
A1435;0
A1436;0
A1437;18
A1438;13
A1439;11
A144;26
A1440;0
A1441;0
A1442;8
A1443;7
A1444;2
A1445;4
A1446;9
A1447;0
A1448;9
A1449;1
A145;33
A1450;0
A1451;2
A1452;8
A1453;0
A1454;20
A1455;19
A1456;18
A1457;15
A1458;21
A1459;29
A146;24
A1460;11
A1461;1
A1462;13
A1463;7
